FIPS,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,Median Household Income (2021),,% of State Median HH Income
17001,"Adams County, IL",5.4,5.0,4.8,3.9,3.8,3.3,6.4,4.0,3.3,"$59,777",,82.8%
17003,"Alexander County, IL",10.8,9.2,9.3,8.4,8.2,6.1,10.3,8.1,6.3,"$41,816",,57.9%
17005,"Bond County, IL",6.6,5.3,5.1,4.4,4.3,3.7,7.0,4.6,3.8,"$57,287",,79.3%
17007,"Boone County, IL",7.9,6.5,6.4,6.7,5.7,5.4,11.4,8.7,6.4,"$71,557",,99.1%
17009,"Brown County, IL",4.2,3.6,3.4,2.9,2.6,2.4,3.9,2.7,2.2,"$51,294",,71.0%
17011,"Bureau County, IL",7.4,6.4,6.1,4.9,4.9,4.5,7.7,5.1,4.4,"$61,431",,85.1%
17013,"Calhoun County, IL",8.3,6.7,6.1,5.4,5.1,4.5,8.1,4.9,4.0,"$63,586",,88.1%
17015,"Carroll County, IL",6.4,5.5,5.7,4.6,4.4,3.9,7.3,4.4,3.8,"$54,450",,75.4%
17017,"Cass County, IL",7.0,5.7,5.6,4.5,4.5,4.0,6.8,5.1,4.2,"$60,961",,84.4%
17019,"Champaign County, IL",5.8,5.1,5.0,4.3,4.3,3.6,6.6,5.0,3.8,"$58,787",,81.4%
17021,"Christian County, IL",7.7,6.6,6.4,5.3,5.2,4.6,8.2,5.6,4.6,"$52,500",,72.7%
17023,"Clark County, IL",7.2,6.2,5.8,5.0,5.3,4.5,8.3,5.2,4.2,"$58,741",,81.3%
17025,"Clay County, IL",8.1,7.1,6.8,5.3,5.2,4.4,9.5,5.7,4.7,"$51,042",,70.7%
17027,"Clinton County, IL",5.5,4.5,4.5,3.5,3.5,3.0,5.9,3.6,3.0,"$77,272",,107.0%
17029,"Coles County, IL",6.8,6.1,5.9,4.7,4.7,3.9,7.5,5.2,4.2,"$47,693",,66.0%
17031,"Cook County, IL",7.6,6.3,6.2,5.1,4.2,3.9,10.6,6.9,5.0,"$72,063",,99.8%
17033,"Crawford County, IL",6.5,5.9,6.3,5.2,5.4,4.2,7.1,5.2,4.1,"$59,128",,81.9%
17035,"Cumberland County, IL",6.0,5.3,5.2,4.0,4.0,3.3,5.8,4.3,3.4,"$69,740",,96.6%
17037,"DeKalb County, IL",6.6,5.6,5.3,4.6,4.4,3.9,8.3,5.8,4.2,"$67,081",,92.9%
17039,"De Witt County, IL",6.6,5.6,5.7,4.7,5.0,4.2,6.8,5.0,4.0,"$64,325",,89.1%
17041,"Douglas County, IL",5.9,4.9,4.7,4.1,4.0,3.4,5.7,3.8,3.3,"$65,447",,90.6%
17043,"DuPage County, IL",5.8,4.8,4.8,4.0,3.2,3.1,7.6,4.5,3.6,"$99,536",,137.8%
17045,"Edgar County, IL",7.2,6.3,6.0,4.9,4.8,4.1,6.9,4.2,3.4,"$56,772",,78.6%
17047,"Edwards County, IL",6.8,6.0,5.8,4.7,4.6,4.1,9.0,5.4,4.4,"$53,779",,74.5%
17049,"Effingham County, IL",5.5,4.8,4.8,3.8,3.7,3.1,6.6,3.9,3.0,"$69,988",,96.9%
17051,"Fayette County, IL",7.6,6.6,6.5,5.5,5.2,4.2,7.6,5.3,4.3,"$52,610",,72.9%
17053,"Ford County, IL",5.9,5.3,5.4,4.8,4.7,4.2,6.7,4.6,4.0,"$57,483",,79.6%
17055,"Franklin County, IL",9.3,8.1,8.1,6.5,6.1,5.2,10.6,6.7,5.2,"$49,510",,68.6%
17057,"Fulton County, IL",8.6,7.6,7.4,6.4,6.2,5.4,8.7,5.8,4.8,"$50,978",,70.6%
17059,"Gallatin County, IL",7.2,6.7,7.6,5.9,5.9,4.9,9.8,6.2,5.0,"$48,424",,67.1%
17061,"Greene County, IL",6.8,6.1,5.8,5.1,4.8,4.1,6.8,4.9,4.1,"$53,394",,73.9%
17063,"Grundy County, IL",8.8,7.0,6.9,5.8,4.8,4.6,8.6,5.3,4.9,"$83,254",,115.3%
17065,"Hamilton County, IL",6.0,5.5,6.2,4.5,4.4,3.7,7.2,4.7,3.4,"$55,409",,76.7%
17067,"Hancock County, IL",6.5,6.2,6.5,5.1,4.7,4.5,6.9,4.4,3.9,"$56,700",,78.5%
17069,"Hardin County, IL",8.8,8.5,9.4,7.6,7.5,6.3,10.0,7.0,5.1,"$47,144",,65.3%
17071,"Henderson County, IL",6.4,6.0,6.1,5.1,4.8,4.6,7.0,4.1,4.0,"$59,415",,82.3%
17073,"Henry County, IL",6.7,6.1,6.0,5.1,5.0,4.6,8.0,5.0,4.2,"$62,683",,86.8%
17075,"Iroquois County, IL",6.5,5.7,5.5,4.6,4.4,4.1,6.3,4.8,4.5,"$60,736",,84.1%
17077,"Jackson County, IL",6.5,5.6,5.4,4.5,4.5,3.6,7.8,5.6,4.2,"$43,334",,60.0%
17079,"Jasper County, IL",6.5,6.2,6.3,5.0,5.0,4.1,6.1,4.3,3.7,"$59,069",,81.8%
17081,"Jefferson County, IL",7.5,6.8,6.4,5.4,5.2,4.4,10.2,6.3,4.6,"$53,294",,73.8%
17083,"Jersey County, IL",7.2,6.3,5.8,4.8,4.8,4.2,7.6,4.4,3.5,"$68,675",,95.1%
17085,"Jo Daviess County, IL",6.2,5.5,5.4,4.5,4.3,3.9,8.4,4.5,3.7,"$67,839",,93.9%
17087,"Johnson County, IL",9.6,8.5,8.7,7.5,7.5,5.8,9.2,6.1,5.4,"$57,073",,79.0%
17089,"Kane County, IL",6.9,5.8,5.5,4.8,4.9,4.3,9.3,6.0,4.5,"$90,941",,125.9%
17091,"Kankakee County, IL",8.2,6.9,6.5,5.5,5.5,4.8,9.0,6.6,5.3,"$63,880",,88.5%
17093,"Kendall County, IL",6.5,5.3,5.2,4.4,3.6,3.4,8.0,4.7,4.0,"$100,483",,139.1%
17095,"Knox County, IL",7.0,6.1,6.1,5.2,5.3,4.8,8.7,6.6,5.2,"$47,559",,65.9%
17097,"Lake County, IL",6.5,5.4,5.2,4.5,4.5,4.0,8.2,5.4,4.2,"$95,895",,132.8%
17099,"LaSalle County, IL",8.2,7.0,6.8,5.6,5.7,5.1,9.5,6.0,4.9,"$64,447",,89.2%
17101,"Lawrence County, IL",7.8,7.1,7.4,6.4,6.2,5.3,9.9,6.6,5.6,"$46,525",,64.4%
17103,"Lee County, IL",6.3,5.3,5.1,4.3,4.3,3.8,6.9,4.6,4.0,"$60,542",,83.8%
17105,"Livingston County, IL",6.4,5.4,5.4,4.5,4.3,3.9,6.8,5.1,4.0,"$61,569",,85.3%
17107,"Logan County, IL",6.5,5.4,5.3,4.6,4.7,4.2,6.9,4.9,4.2,"$58,939",,81.6%
17109,"McDonough County, IL",6.9,6.1,6.3,5.0,4.9,4.5,7.2,5.0,4.1,"$53,024",,73.4%
17111,"McHenry County, IL",6.6,5.5,5.4,4.4,3.6,3.4,8.1,4.7,4.0,"$92,522",,128.1%
17113,"McLean County, IL",5.5,4.8,5.1,4.1,4.1,3.6,6.9,4.7,3.5,"$71,309",,98.7%
17115,"Macon County, IL",8.6,7.0,6.6,5.5,5.5,5.0,10.0,7.7,5.5,"$48,245",,66.8%
17117,"Macoupin County, IL",7.5,6.3,6.0,4.9,4.9,4.1,7.0,4.6,3.7,"$57,755",,80.0%
17119,"Madison County, IL",7.1,6.0,5.9,4.8,4.5,3.8,7.9,5.0,3.7,"$65,886",,91.2%
17121,"Marion County, IL",7.7,6.8,6.4,5.2,4.9,4.3,9.3,5.9,4.6,"$55,292",,76.6%
17123,"Marshall County, IL",7.1,6.6,6.6,5.4,5.3,4.6,7.3,5.6,4.6,"$64,132",,88.8%
17125,"Mason County, IL",8.7,7.1,7.1,6.1,5.9,5.1,8.0,5.4,4.5,"$58,828",,81.5%
17127,"Massac County, IL",8.0,7.3,7.1,6.5,6.9,5.4,10.1,5.9,4.8,"$52,680",,72.9%
17129,"Menard County, IL",5.8,4.8,4.7,4.2,4.1,3.7,6.5,4.2,3.6,"$75,687",,104.8%
17131,"Mercer County, IL",7.0,6.2,6.2,5.1,5.2,4.8,8.2,5.0,4.1,"$64,731",,89.6%
17133,"Monroe County, IL",5.4,4.4,4.1,3.4,3.4,2.9,5.6,3.2,2.8,"$93,054",,128.9%
17135,"Montgomery County, IL",8.8,7.6,7.1,5.7,5.9,5.0,8.8,5.6,4.6,"$59,116",,81.9%
17137,"Morgan County, IL",6.0,5.0,4.9,4.4,4.4,3.9,6.9,5.1,4.0,"$54,644",,75.7%
17139,"Moultrie County, IL",5.5,4.4,4.6,3.9,3.8,3.2,5.2,3.7,3.2,"$69,652",,96.5%
17141,"Ogle County, IL",7.5,6.2,5.9,5.1,5.0,4.7,8.2,5.9,4.8,"$74,472",,103.1%
17143,"Peoria County, IL",7.8,6.9,6.9,5.9,5.6,4.9,10.5,7.2,5.0,"$56,460",,78.2%
17145,"Perry County, IL",8.5,7.1,7.1,6.0,5.9,5.0,9.6,6.1,4.9,"$53,071",,73.5%
17147,"Piatt County, IL",5.5,4.9,4.9,4.1,4.2,3.5,5.5,4.2,3.4,"$81,583",,113.0%
17149,"Pike County, IL",5.8,5.2,5.1,4.5,4.8,4.2,6.0,4.2,4.2,"$54,474",,75.4%
17151,"Pope County, IL",8.4,7.0,7.2,6.5,6.0,5.3,7.2,4.8,4.5,"$50,404",,69.8%
17153,"Pulaski County, IL",10.5,8.9,8.4,7.9,8.0,6.4,11.9,9.5,6.9,"$42,738",,59.2%
17155,"Putnam County, IL",7.7,6.2,5.6,5.0,5.3,4.9,8.4,5.1,4.7,"$74,798",,103.6%
17157,"Randolph County, IL",6.7,5.4,5.0,4.4,4.4,3.5,7.2,4.5,3.6,"$58,694",,81.3%
17159,"Richland County, IL",6.5,5.9,5.9,4.8,4.6,3.9,6.8,4.5,3.7,"$56,852",,78.7%
17161,"Rock Island County, IL",7.1,6.4,6.3,5.1,5.2,4.8,9.5,5.7,4.3,"$58,171",,80.6%
17163,"St. Clair County, IL",7.9,6.6,6.1,5.1,5.0,4.2,9.2,6.1,4.3,"$66,422",,92.0%
17165,"Saline County, IL",8.3,7.8,8.6,6.4,6.4,5.1,9.9,6.8,5.0,"$50,914",,70.5%
17167,"Sangamon County, IL",6.1,5.3,5.0,4.4,4.4,3.9,8.3,5.6,4.1,"$68,476",,94.8%
17169,"Schuyler County, IL",6.8,5.9,5.6,4.6,4.4,4.0,6.4,4.2,4.1,"$57,839",,80.1%
17171,"Scott County, IL",7.0,5.9,5.7,5.2,5.2,4.6,6.7,5.2,4.8,"$63,510",,87.9%
17173,"Shelby County, IL",6.8,5.9,5.7,4.4,4.3,3.8,6.7,4.4,4.1,"$55,725",,77.2%
17175,"Stark County, IL",7.6,6.7,7.4,6.3,6.2,5.5,7.4,5.6,4.9,"$58,265",,80.7%
17177,"Stephenson County, IL",7.4,6.6,5.9,4.7,4.6,4.2,7.4,5.6,4.5,"$56,263",,77.9%
17179,"Tazewell County, IL",6.8,6.3,6.4,5.3,4.8,4.2,8.2,5.1,4.1,"$65,427",,90.6%
17181,"Union County, IL",8.9,7.7,7.4,6.4,6.4,5.4,8.2,5.8,5.1,"$52,384",,72.5%
17183,"Vermilion County, IL",8.6,7.1,7.3,6.5,6.2,5.0,9.4,6.7,5.0,"$49,825",,69.0%
17185,"Wabash County, IL",6.0,5.7,6.3,5.2,5.0,4.1,9.7,4.8,3.3,"$56,183",,77.8%
17187,"Warren County, IL",5.9,5.2,5.3,4.2,4.2,3.9,6.4,4.8,3.9,"$61,734",,85.5%
17189,"Washington County, IL",4.8,3.8,3.8,3.0,2.9,2.5,5.3,3.1,2.4,"$66,746",,92.4%
