,county,average_home_price,pct_college_education,unemployment_rate,median_household_income
0,Cook,265912.69056022435,0.40700000000000003,0.069,72063
1,DuPage,337480.7961535523,0.507,0.045,99536
2,Lake,284564.2518947251,0.46299999999999997,0.054000000000000006,95895
3,Will,277742.9048402,0.354,0.057,93994
4,Kane,276055.66439330165,0.36,0.06,90941
5,McHenry,262816.4294353292,0.35200000000000004,0.047,92522
6,Winnebago,135432.19309923495,0.233,0.085,57113
7,Madison,149580.0728785768,0.285,0.05,65886
8,St. Clair,143853.2052003994,0.29600000000000004,0.061,66422
9,Champaign,173976.9519974455,0.455,0.05,58787
10,Sangamon,150015.99195677842,0.34,0.055999999999999994,68476
11,Peoria,113342.556604569,0.32899999999999996,0.07200000000000001,56460
12,McLean,187157.97891111753,0.456,0.047,71309
13,Rock Island,131333.02316114603,0.23600000000000002,0.057,58171
14,Tazewell,138485.73560804894,0.27699999999999997,0.051,65427
15,Kendall,278342.8815555346,0.353,0.047,100483
16,LaSalle,138598.0483278468,0.185,0.06,64447
17,Kankakee,168342.88390435983,0.207,0.066,63880
18,Macon,92100.84884523792,0.235,0.077,48245
19,DeKalb,209981.49990988764,0.332,0.057999999999999996,67081
20,Vermilion,75295.03363062932,0.163,0.067,49825
21,Williamson,126682.42749092683,0.266,0.057,55447
22,Adams,150518.916353295,0.257,0.04,59777
23,Whiteside,108335.92348975183,0.188,0.05,56805
24,Jackson,97833.47559467591,0.342,0.055999999999999994,43334
25,Boone,199684.56954508834,0.248,0.087,71557
26,Grundy,244566.97483270356,0.266,0.053,83254
27,Ogle,168339.43744488325,0.21600000000000003,0.059000000000000004,74472
28,Knox,94808.35267911428,0.19699999999999998,0.066,47559
29,Henry,131049.52302251432,0.239,0.05,62683
30,Coles,105152.36117112801,0.257,0.052000000000000005,47693
31,Macoupin,115488.4485464467,0.185,0.046,57755
32,Stephenson,107755.42129832467,0.213,0.055999999999999994,56263
33,Woodford,181397.966107289,0.349,0.040999999999999995,85085
34,Franklin,104242.07294453915,0.177,0.067,49510
35,Marion,89822.58041352606,0.162,0.059000000000000004,55292
36,Jefferson,105491.23171544213,0.182,0.063,53294
37,Clinton,167572.97330622343,0.231,0.036000000000000004,77272
38,Monroe,251668.07856806964,0.371,0.032,93054
39,Livingston,116370.30319593246,0.168,0.051,61569
40,Effingham,169505.85970648297,0.231,0.039,69988
41,Lee,139709.35628785504,0.18600000000000003,0.046,60542
42,Christian,94885.46316041435,0.182,0.055999999999999994,52500
43,Fulton,90771.22062892228,0.183,0.057999999999999996,50978
44,Bureau,107725.77408581214,0.204,0.051,61431
45,Morgan,107277.39625069173,0.21100000000000002,0.051,54644
46,Randolph,116116.77723048358,0.132,0.045,58694
47,Montgomery,107188.27751062921,0.179,0.055999999999999994,59116
48,Logan,113900.83795597022,0.21100000000000002,0.049,58939
49,McDonough,82845.79108805735,0.322,0.05,53024
50,Iroquois,121008.4087900184,0.159,0.048,60736
51,Saline,69394.14083732753,0.192,0.068,50914
52,Jo Daviess,169439.5319092798,0.251,0.045,67839
53,Jersey,162820.1204937795,0.22399999999999998,0.044000000000000004,68675
54,Fayette,111301.3405514323,0.126,0.053,52610
55,Shelby,127739.57729305926,0.174,0.044000000000000004,55725
56,Perry,88742.0169744448,0.11599999999999999,0.061,53071
57,Douglas,112671.16546470387,0.191,0.038,65447
58,Crawford,111049.04218075798,0.17300000000000001,0.052000000000000005,59128
59,Hancock,104962.40558589553,0.245,0.044000000000000004,56700
60,Union,120434.84588143193,0.22699999999999998,0.057999999999999996,52384
61,Edgar,88185.83303280383,0.182,0.042,56772
62,Warren,90216.9096986602,0.22399999999999998,0.048,61734
63,Bond,137972.40862286475,0.212,0.046,57287
64,Piatt,172684.75074940355,0.311,0.042,81583
65,Wayne,107951.8589046568,0.152,0.049,51669
66,Richland,114286.22183318496,0.19399999999999998,0.045,56852
67,Mercer,150454.42193211202,0.187,0.05,64731
68,DeWitt,108741.57697939158,0.209,0.05,64325
69,Clark,117759.82986235792,0.23399999999999999,0.052000000000000005,58741
70,Carroll,115739.38091398565,0.19899999999999998,0.044000000000000004,54450
71,Lawrence,70481.75376226864,0.133,0.066,46525
72,Pike,93994.00637179712,0.17600000000000002,0.042,54474
73,Moultrie,121990.26549615752,0.198,0.037000000000000005,69652
74,Massac,94183.41341921943,0.131,0.059000000000000004,52680
75,White,100056.60041336982,0.162,0.05,50653
76,Washington,137288.61314609065,0.226,0.031,66746
77,Ford,114253.81447851293,0.217,0.046,57483
78,Clay,93093.06513661468,0.14800000000000002,0.057,51042
79,Johnson,145074.10651715045,0.17300000000000001,0.061,57073
80,Mason,96976.60336029124,0.16699999999999998,0.054000000000000006,58828
81,Cass,76630.15554693206,0.182,0.051,60961
82,Menard,161916.12936272487,0.244,0.042,75687
83,Greene,93501.41976273285,0.165,0.049,53394
84,Marshall,92318.01062001738,0.18,0.055999999999999994,64132
85,Wabash,112351.05339068284,0.185,0.048,56183
86,Cumberland,133001.93286950808,0.192,0.043,69740
87,Jasper,141916.03639144107,0.198,0.043,59069
88,Hamilton,119820.36824519506,0.187,0.047,55409
89,Schuyler,125725.25499289464,0.174,0.042,57839
90,Henderson,104084.68019498605,0.18600000000000003,0.040999999999999995,59415
91,Brown,142306.25276972912,0.13,0.027000000000000003,51294
92,Edwards,91571.25805837924,0.133,0.054000000000000006,53779
93,Putnam,141508.42132571377,0.2,0.051,74798
94,Alexander,61111.94113890217,0.12300000000000001,0.081,41816
95,Stark,103808.27874846193,0.195,0.055999999999999994,58265
96,Pulaski,93582.4509450605,0.147,0.095,42738
97,Gallatin,89417.73309989373,0.11,0.062,48424
98,Scott,104845.50866379529,0.221,0.052000000000000005,63510
99,Calhoun,146681.97162550056,0.17300000000000001,0.049,63586
100,Pope,149654.1470087699,0.145,0.048,50404
101,Hardin,94507.04677074293,0.134,0.07,47144
